1460539960830 Device(s) COM5  
1460539960852 Connected COM5  
1460539964070 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 168 ,heading: 18 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 166 ,heading: 20 ,rotateDirection: left ,quarter: Q3
output: 67 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 164 ,heading: 22 ,rotateDirection: left ,quarter: Q3
